year,genre,popularity,duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2010,hip hop,64.66666666666667,227642.40740740742,0.6494074074074073,0.7853518518518519,-4.864907407407407,0.12965370370370372,0.08877251851851851,2.3882407407407407e-05,0.2137425925925926,0.5612037037037036,118.09048148148148
2011,hip hop,62.583333333333336,225801.02083333334,0.6632708333333334,0.7921666666666667,-4.8709999999999996,0.14097708333333334,0.06724291666666667,0.000675935625,0.20428958333333333,0.5706041666666667,128.49539583333333
2012,hip hop,63.34090909090909,231203.5909090909,0.6775,0.7837954545454546,-4.85125,0.10685454545454545,0.07692213636363636,0.01504332590909091,0.24319545454545455,0.5483181818181818,120.63252272727273
2013,hip hop,55.2962962962963,233724.4814814815,0.7191111111111111,0.7044814814814815,-5.895148148148149,0.14971481481481483,0.08611911111111112,0.004798254074074074,0.17164814814814816,0.5517592592592593,113.33681481481482
2014,hip hop,57.266666666666666,224056.26666666666,0.7005666666666667,0.7204333333333334,-5.0555666666666665,0.10448333333333333,0.10133966666666666,0.002340007333333333,0.22002333333333332,0.5159666666666667,128.78186666666667
2015,hip hop,61.484848484848484,213300.66666666666,0.7076666666666667,0.667969696969697,-5.508424242424242,0.10622121212121212,0.09143315151515152,0.0041165412121212126,0.2085878787878788,0.4949090909090909,115.20030303030303
2016,hip hop,61.41025641025641,225250.10256410256,0.6869487179487179,0.6410769230769231,-6.334461538461539,0.12492307692307691,0.14998564102564105,0.010428045897435897,0.15901538461538461,0.4424205128205128,120.52064102564103
2017,hip hop,57.54761904761905,218635.83333333334,0.7629285714285714,0.6512619047619048,-6.08897619047619,0.16253571428571428,0.10022459523809524,0.002819647142857143,0.15311666666666668,0.47335714285714287,124.13004761904763
2018,hip hop,72.82,212772.34,0.7695799999999999,0.6128199999999999,-6.2001599999999994,0.169112,0.16558006,0.0006452544000000001,0.152368,0.445,122.34368
2019,hip hop,65.15789473684211,192327.68421052632,0.7561315789473685,0.6496578947368421,-5.949526315789473,0.16232105263157895,0.14653097368421053,0.0003217660526315789,0.14936315789473684,0.49202631578947364,124.73594736842104
2020,hip hop,34.0,197666.0,0.873,0.9,-4.325,0.18,0.0107,0.000502,0.556,0.478,102.516
2004,latin,11.0,192600.0,0.857,0.801,-6.499,0.0618,0.332,1.2e-06,0.0789,0.753,96.009
2011,latin,0.0,213986.0,0.622,0.942,-6.365,0.112,0.00713,0.0,0.0715,0.773,130.003
2017,latin,52.0,197847.5,0.642,0.71,-4.3505,0.06355,0.1369,6.7e-06,0.11245,0.48250000000000004,97.125
2018,latin,73.0,237924.0,0.7958000000000001,0.7194,-4.7064,0.12986,0.27462,0.0001047,0.1943,0.5484,116.12539999999998
2019,latin,76.0,233843.33333333334,0.7133333333333334,0.7573333333333334,-4.208333333333333,0.16325,0.2610666666666666,0.0016736766666666663,0.15476666666666666,0.588,137.19733333333332
2000,metal,72.5,267400.0,0.514,0.8925000000000001,-4.4825,0.10850000000000001,0.011705,0.153,0.14975,0.6105,99.137
2003,metal,71.0,245359.8,0.4286,0.6672,-5.615,0.03928,0.2738958,1.0811999999999999e-05,0.23159999999999997,0.30823999999999996,109.46340000000001
2006,metal,65.0,214706.0,0.45,0.883,-4.094,0.0524,0.00193,0.0,0.293,0.328,93.41
2015,metal,83.0,216320.0,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879
1999,pop,62.17391304347826,261732.86956521738,0.6389130434782608,0.7118695652173913,-6.393521739130434,0.04486086956521739,0.1674209347826087,0.014442480869565219,0.15785652173913042,0.5390130434782608,122.85382608695652
2000,pop,58.35897435897436,242027.2564102564,0.6848461538461539,0.746974358974359,-6.375102564102564,0.050666666666666665,0.116979,0.028616101025641025,0.1805153846153846,0.6384358974358975,116.3494358974359
2001,pop,59.3728813559322,235062.2372881356,0.6469322033898305,0.720713559322034,-5.884186440677966,0.07632542372881355,0.191779,0.03200853305084746,0.17136440677966103,0.6500677966101694,113.68138983050848
2002,pop,62.34375,235771.28125,0.63203125,0.731625,-5.35621875,0.090303125,0.139457434375,0.018001703437500002,0.224196875,0.54440625,111.42765625
2003,pop,55.63636363636363,234013.54545454544,0.652090909090909,0.6566136363636363,-6.660045454545454,0.07997954545454546,0.19384045454545457,0.02124566090909091,0.15077727272727273,0.5646386363636364,123.21320454545456
2004,pop,55.55263157894737,224692.1052631579,0.6884736842105262,0.7600526315789474,-5.217815789473684,0.07837894736842106,0.10488247368421053,0.010844955263157895,0.2008078947368421,0.611421052631579,117.37326315789474
